"ID","CODE_GENDER","FLAG_OWN_CAR","FLAG_OWN_REALTY","CNT_CHILDREN","AMT_INCOME_TOTAL","NAME_INCOME_TYPE","NAME_EDUCATION_TYPE","NAME_FAMILY_STATUS","NAME_HOUSING_TYPE","DAYS_BIRTH","DAYS_EMPLOYED","FLAG_MOBIL","FLAG_WORK_PHONE","FLAG_PHONE","FLAG_EMAIL","OCCUPATION_TYPE","CNT_FAM_MEMBERS","default"
5008804,"M","Y","Y",0,427500,"Working","Higher education","Civil marriage","Rented apartment",-12005,-4542,1,1,0,0,"",2,0
5008806,"M","Y","Y",0,112500,"Working","Secondary / secondary special","Married","House / apartment",-21474,-1134,1,0,0,0,"Security staff",2,0
5008808,"F","N","Y",0,270000,"Commercial associate","Secondary / secondary special","Single / not married","House / apartment",-19110,-3051,1,0,1,1,"Sales staff",1,0
5008810,"F","N","Y",0,270000,"Commercial associate","Secondary / secondary special","Single / not married","House / apartment",-19110,-3051,1,0,1,1,"Sales staff",1,0
5008811,"F","N","Y",0,270000,"Commercial associate","Secondary / secondary special","Single / not married","House / apartment",-19110,-3051,1,0,1,1,"Sales staff",1,0
5008821,"M","Y","Y",0,135000,"Commercial associate","Secondary / secondary special","Married","House / apartment",-17778,-1194,1,0,0,0,"Laborers",2,0
5008834,"F","N","Y",1,112500,"Working","Secondary / secondary special","Single / not married","House / apartment",-10968,-1620,1,0,0,0,"",2,0
5008841,"M","N","Y",1,405000,"Commercial associate","Higher education","Married","House / apartment",-11842,-2016,1,0,0,0,"Managers",3,0
5008843,"M","N","Y",1,405000,"Commercial associate","Higher education","Married","House / apartment",-11842,-2016,1,0,0,0,"Managers",3,0
5008852,"M","Y","Y",0,112500,"Commercial associate","Secondary / secondary special","Married","House / apartment",-20502,-4450,1,0,1,0,"Drivers",2,0
5008855,"F","Y","Y",2,135000,"Working","Secondary / secondary special","Married","House / apartment",-15761,-3173,1,0,0,0,"Laborers",4,0
5008856,"F","Y","Y",2,135000,"Working","Secondary / secondary special","Married","House / apartment",-15761,-3173,1,0,0,0,"Laborers",4,0
5008857,"F","Y","Y",2,135000,"Working","Secondary / secondary special","Married","House / apartment",-15761,-3173,1,0,0,0,"Laborers",4,0
5008864,"F","Y","Y",2,135000,"Working","Secondary / secondary special","Married","House / apartment",-15761,-3173,1,0,0,0,"Laborers",4,0
5008868,"F","N","Y",1,211500,"State servant","Secondary / secondary special","Civil marriage","House / apartment",-16212,-7099,1,0,0,0,"Core staff",3,0
5008874,"F","N","Y",2,126000,"Commercial associate","Higher education","Married","House / apartment",-12411,-1773,1,0,0,1,"Managers",4,0
5008880,"F","N","Y",2,126000,"Commercial associate","Higher education","Married","House / apartment",-12411,-1773,1,0,0,1,"Managers",4,0
5008889,"F","N","Y",0,247500,"Commercial associate","Higher education","Separated","Rented apartment",-17016,-1347,1,0,0,0,"Core staff",1,0
5008891,"F","N","Y",0,297000,"Commercial associate","Secondary / secondary special","Single / not married","Rented apartment",-15519,-3234,1,0,0,0,"Laborers",1,0
5008893,"F","N","Y",0,297000,"Commercial associate","Secondary / secondary special","Single / not married","Rented apartment",-15519,-3234,1,0,0,0,"Laborers",1,0
5008918,"F","N","Y",0,297000,"Commercial associate","Secondary / secondary special","Single / not married","Rented apartment",-15519,-3234,1,0,0,0,"Laborers",1,0
5008920,"F","N","Y",0,297000,"Commercial associate","Secondary / secondary special","Single / not married","Rented apartment",-15519,-3234,1,0,0,0,"Laborers",1,0
5008921,"F","N","Y",0,297000,"Commercial associate","Secondary / secondary special","Single / not married","Rented apartment",-15519,-3234,1,0,0,0,"Laborers",1,0
5008923,"F","N","Y",0,297000,"Commercial associate","Secondary / secondary special","Single / not married","Rented apartment",-15519,-3234,1,0,0,0,"Laborers",1,0
5008924,"F","N","Y",0,297000,"Commercial associate","Secondary / secondary special","Single / not married","Rented apartment",-15519,-3234,1,0,0,0,"Laborers",1,0
5008928,"F","N","Y",0,297000,"Commercial associate","Secondary / secondary special","Single / not married","Rented apartment",-15519,-3234,1,0,0,0,"Laborers",1,1
5008929,"F","N","Y",0,297000,"Commercial associate","Secondary / secondary special","Single / not married","Rented apartment",-15519,-3234,1,0,0,0,"Laborers",1,0
5008930,"F","N","Y",0,297000,"Commercial associate","Secondary / secondary special","Single / not married","Rented apartment",-15519,-3234,1,0,0,0,"Laborers",1,0
5008931,"F","N","Y",0,297000,"Commercial associate","Secondary / secondary special","Single / not married","Rented apartment",-15519,-3234,1,0,0,0,"Laborers",1,0
5008935,"F","N","Y",0,297000,"Commercial associate","Secondary / secondary special","Single / not married","Rented apartment",-15519,-3234,1,0,0,0,"Laborers",1,0
5008936,"F","N","Y",0,297000,"Commercial associate","Secondary / secondary special","Single / not married","Rented apartment",-15519,-3234,1,0,0,0,"Laborers",1,0
5008937,"F","N","Y",0,297000,"Commercial associate","Secondary / secondary special","Single / not married","Rented apartment",-15519,-3234,1,0,0,0,"Laborers",1,0
5008940,"F","N","Y",0,297000,"Commercial associate","Secondary / secondary special","Single / not married","Rented apartment",-15519,-3234,1,0,0,0,"Laborers",1,0
5008941,"F","N","Y",0,297000,"Commercial associate","Secondary / secondary special","Single / not married","Rented apartment",-15519,-3234,1,0,0,0,"Laborers",1,0
