UniqueID,disbursed_amount,asset_cost,ltv,branch_id,supplier_id,manufacturer_id,Current_pincode_ID,Date.of.Birth,Employment.Type,DisbursalDate,State_ID,Employee_code_ID,MobileNo_Avl_Flag,Aadhar_flag,PAN_flag,VoterID_flag,Driving_flag,Passport_flag,PERFORM_CNS.SCORE,PERFORM_CNS.SCORE.DESCRIPTION,PRI.NO.OF.ACCTS,PRI.ACTIVE.ACCTS,PRI.OVERDUE.ACCTS,PRI.CURRENT.BALANCE,PRI.SANCTIONED.AMOUNT,PRI.DISBURSED.AMOUNT,SEC.NO.OF.ACCTS,SEC.ACTIVE.ACCTS,SEC.OVERDUE.ACCTS,SEC.CURRENT.BALANCE,SEC.SANCTIONED.AMOUNT,SEC.DISBURSED.AMOUNT,PRIMARY.INSTAL.AMT,SEC.INSTAL.AMT,NEW.ACCTS.IN.LAST.SIX.MONTHS,DELINQUENT.ACCTS.IN.LAST.SIX.MONTHS,AVERAGE.ACCT.AGE,CREDIT.HISTORY.LENGTH,NO.OF_INQUIRIES,loan_default
539718,84489,115279,74.6,136,14123,48,3785,16/08/2000,NA,26/09/2018,8,566,1,1,0,0,0,0,811,A-Very Low Risk,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 6mon,0yrs 9mon,0,0
639885,85389,108955,79.85,67,22703,86,1443,04/07/2000,NA,30/10/2018,6,750,1,1,0,0,0,0,720,D-Very Low Risk,2,1,1,3100513,3200000,3200000,0,0,0,0,0,0,29148,0,0,0,5yrs 6mon,10yrs 1mon,0,1
557022,37439,70435,55.37,152,24014,45,5181,05/06/2000,NA,04/10/2018,3,541,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
599768,75951,118937,65.58,10,23509,51,5693,16/05/2000,NA,22/10/2018,3,2587,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,1
526164,60947,70201,88.32,16,18473,86,3000,16/03/2000,NA,21/09/2018,14,263,1,1,0,0,0,0,16,Not Scored: No Activity seen on the customer (Inactive),1,0,0,0,0,0,0,0,0,0,0,0,1631,0,0,0,1yrs 3mon,1yrs 3mon,0,1
425464,58759,90316,65.88,82,18559,86,4881,15/01/2000,NA,07/08/2018,19,508,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
590804,58500,67933,88.32,63,16309,45,7085,01/01/2000,NA,20/10/2018,10,2659,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,1
592974,54413,66538,84.16,67,22727,45,1446,01/01/2000,NA,20/10/2018,6,622,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,1
462908,66882,98400,70.12,10,21752,51,5681,01/01/2000,NA,24/08/2018,3,2038,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,1
638350,71517,117810,62.39,10,23509,51,5708,01/01/2000,NA,29/10/2018,3,2587,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
