UniqueID,disbursed_amount,asset_cost,ltv,branch_id,supplier_id,manufacturer_id,Current_pincode_ID,Date.of.Birth,Employment.Type,DisbursalDate,State_ID,Employee_code_ID,MobileNo_Avl_Flag,Aadhar_flag,PAN_flag,VoterID_flag,Driving_flag,Passport_flag,PERFORM_CNS.SCORE,PERFORM_CNS.SCORE.DESCRIPTION,PRI.NO.OF.ACCTS,PRI.ACTIVE.ACCTS,PRI.OVERDUE.ACCTS,PRI.CURRENT.BALANCE,PRI.SANCTIONED.AMOUNT,PRI.DISBURSED.AMOUNT,PRIMARY.INSTAL.AMT,NEW.ACCTS.IN.LAST.SIX.MONTHS,DELINQUENT.ACCTS.IN.LAST.SIX.MONTHS,AVERAGE.ACCT.AGE,CREDIT.HISTORY.LENGTH,NO.OF_INQUIRIES,loan_default
591894,153318,196451,80.94,78,23044,67,2038,18/10/1978,Self employed,20/10/2018,4,174,1,1,1,0,0,0,647,G-Low Risk,6,3,0,856432,913342,913342,0,1,0,2yrs 10mon,5yrs 9mon,1,0
516699,143188,215528,68.67,138,14292,48,3346,04/10/1985,Self employed,19/09/2018,9,2602,1,0,1,1,0,0,688,E-Low Risk,12,3,0,8283929,8453793,8453793,26446,2,0,1yrs 1mon,4yrs 3mon,0,1
592556,131509,196451,69.79,78,23044,67,2098,10/11/1984,Salaried,20/10/2018,4,174,1,1,0,0,0,0,15,Not Scored: Sufficient History Not Available,1,1,0,60089,60000,60000,0,1,0,0yrs 0mon,0yrs 0mon,2,0
612297,129598,167976,78.5,85,23127,49,2029,06/10/1985,Self employed,24/10/2018,4,1810,1,1,0,0,0,0,15,Not Scored: Sufficient History Not Available,2,1,0,49955,50000,50000,550,1,0,1yrs 11mon,3yrs 10mon,0,1
635664,129506,179647,75.15,74,20684,67,2578,23/03/1983,Self employed,29/10/2018,4,361,1,1,0,0,0,0,571,I-Medium Risk,12,8,1,221107,260450,260450,7054,7,1,0yrs 5mon,0yrs 11mon,2,0
646923,122223,181962,69.79,3,14114,67,32,01/01/1982,Self employed,31/10/2018,1,1811,1,1,1,0,1,0,17,Not Scored: Not Enough Info available on the customer,2,1,0,181900,181900,181900,0,2,0,0yrs 2mon,0yrs 3mon,0,1
580309,117448,174439,70,85,22628,67,1956,01/06/1980,Self employed,15/10/2018,4,1678,1,1,0,0,0,0,15,Not Scored: Sufficient History Not Available,1,1,0,7991,11990,11990,1000,1,0,0yrs 0mon,0yrs 0mon,1,0
580384,117343,176804,69,85,23763,67,2029,01/01/1972,Self employed,15/10/2018,4,343,1,1,0,0,0,0,683,E-Low Risk,2,1,0,279572,380000,380000,4334,0,0,5yrs 6mon,6yrs 6mon,1,1
628786,116908,174438,69.57,85,23002,67,1935,01/06/1981,Self employed,27/10/2018,4,983,1,1,1,0,0,0,14,Not Scored: Only a Guarantor,1,0,0,0,0,0,0,0,0,3yrs 10mon,3yrs 10mon,0,1
579248,116851,174535,69.61,34,23515,67,989,17/03/1984,Self employed,15/10/2018,6,2059,1,1,0,0,0,0,700,E-Low Risk,6,4,0,710895,1172392,1172392,5100,2,0,0yrs 11mon,2yrs 8mon,2,0
