UniqueID,disbursed_amount,asset_cost,ltv,supplier_id,manufacturer_id,Current_pincode_ID,Date.of.Birth,Employment.Type,DisbursalDate,State_ID,MobileNo_Avl_Flag,Aadhar_flag,VoterID_flag,Driving_flag,Passport_flag,PERFORM_CNS.SCORE,PERFORM_CNS.SCORE.DESCRIPTION,PRI.NO.OF.ACCTS,PRI.ACTIVE.ACCTS,PRI.OVERDUE.ACCTS,PRI.CURRENT.BALANCE,PRI.SANCTIONED.AMOUNT,PRI.DISBURSED.AMOUNT,PRIMARY.INSTAL.AMT,NEW.ACCTS.IN.LAST.SIX.MONTHS,DELINQUENT.ACCTS.IN.LAST.SIX.MONTHS,AVERAGE.ACCT.AGE,CREDIT.HISTORY.LENGTH,NO.OF_INQUIRIES,loan_default
645248,59713,74114,81.63,16310,86,988,16/09/1965,Self employed,31/10/2018,6,1,1,0,0,0,832,A-Very Low Risk,15,0,0,0,0,0,185,0,0,0yrs 7mon,1yrs 1mon,0,1
647413,57259,68892,84.19,15271,86,981,01/01/1968,Self employed,31/10/2018,6,1,1,0,0,0,825,A-Very Low Risk,4,1,0,33777,40000,40000,3645,0,0,1yrs 6mon,2yrs 0mon,0,0
424974,45545,58350,79.69,16680,45,481,01/12/1971,Salaried,09/04/2016,11,1,1,0,0,0,805,B-Very Low Risk,10,6,0,3541031,3794342,3794342,70888,1,0,2yrs 1mon,5yrs 1mon,0,0
425862,54013,73960,75.72,23448,45,5834,26/01/1972,Self employed,09/04/2016,3,1,0,1,0,0,643,G-Low Risk,4,1,0,450163,450000,450000,23797,1,1,2yrs 5mon,3yrs 7mon,1,0
648360,57113,70000,83.86,23007,86,5096,12/10/1991,Self employed,31/10/2018,3,1,1,0,0,0,754,C-Very Low Risk,3,0,0,0,0,0,4931,0,0,1yrs 4mon,2yrs 6mon,0,1
429125,54303,70500,78.01,15694,86,3013,10/05/1980,Salaried,01/05/2016,14,1,1,0,0,0,832,A-Very Low Risk,12,0,0,0,0,0,0,0,0,0yrs 2mon,0yrs 7mon,0,0
429537,66660,77376,88.53,18306,86,5326,24/11/1973,Salaried,01/05/2016,3,1,1,0,0,0,836,A-Very Low Risk,4,0,0,0,0,0,5371,0,0,1yrs 9mon,4yrs 6mon,0,0
648446,50003,74625,68.34,20470,86,3574,01/01/1967,Self employed,31/10/2018,9,1,1,0,0,0,738,C-Very Low Risk,35,5,0,88428,128000,128000,20766,2,0,0yrs 7mon,2yrs 1mon,2,0
649474,56513,71939,79.93,23854,86,6814,16/09/1980,Self employed,31/10/2018,13,1,0,1,0,0,738,C-Very Low Risk,11,3,0,104497,155000,155000,19798,1,0,0yrs 11mon,1yrs 9mon,2,1
431972,51003,68214,77.7,24001,86,847,08/04/1993,Salaried,12/05/2016,15,1,1,0,0,0,825,A-Very Low Risk,1,0,0,0,0,0,1136,0,0,0yrs 6mon,0yrs 6mon,1,0
432414,55759,71500,79.72,22699,86,2378,28/12/1987,Salaried,23/05/2016,4,1,1,0,0,0,832,A-Very Low Risk,1,0,0,0,0,0,17,0,0,0yrs 5mon,0yrs 5mon,0,0
432747,37944,59681,65.35,15919,45,1359,04/01/1983,Salaried,23/05/2016,6,1,1,0,0,0,825,A-Very Low Risk,1,0,0,0,0,0,1642,0,0,0yrs 7mon,0yrs 7mon,1,0
434731,48749,61540,81.25,18532,45,1446,15/08/1998,NA,03/06/2016,6,1,1,0,0,0,825,A-Very Low Risk,2,0,0,0,0,0,4259,0,0,0yrs 6mon,0yrs 7mon,0,1
432442,53078,61323,89.69,20582,86,1406,05/02/1970,Salaried,23/05/2016,6,1,1,0,0,0,712,D-Very Low Risk,3,1,0,224565,3.00E+05,3.00E+05,0,0,0,1yrs 8mon,2yrs 5mon,0,0
437626,49303,66799,76.35,23824,86,936,21/02/1984,Salaried,25/06/2016,6,1,1,0,0,0,832,A-Very Low Risk,2,0,0,0,0,0,0,0,0,0yrs 4mon,0yrs 5mon,0,0
649424,62500,71743,89.9,21043,86,3600,01/05/1982,Self employed,31/10/2018,9,1,1,0,0,0,708,D-Very Low Risk,5,4,0,28107,67970,67970,0,2,0,0yrs 5mon,0yrs 11mon,2,0
651945,62947,71954,88.95,21177,45,761,28/11/1992,Self employed,31/10/2018,18,1,1,0,0,0,710,D-Very Low Risk,2,1,0,25000,25000,25000,0,1,0,1yrs 5mon,2yrs 11mon,1,1
439880,47349,66523,72.16,18473,86,2988,03/01/1973,Salaried,17/07/2016,14,1,1,0,0,0,836,A-Very Low Risk,1,0,0,0,0,0,0,0,0,2yrs 1mon,2yrs 1mon,0,0
441177,45849,60550,77.62,24323,45,796,15/06/1986,NA,17/07/2016,15,1,1,0,0,0,808,A-Very Low Risk,1,1,0,66620,596446,596446,0,0,0,3yrs 5mon,3yrs 5mon,0,0
648673,51078,70792,73.45,22647,86,349,29/08/1974,Self employed,31/10/2018,11,1,1,0,0,0,699,E-Low Risk,9,7,0,113604,160000,160000,52516,5,0,0yrs 5mon,1yrs 1mon,0,0
448849,48283,61995,82.26,22932,45,6154,01/01/1992,Salaried,30/08/2016,5,1,1,0,0,0,825,A-Very Low Risk,1,0,0,0,0,0,1472,0,0,0yrs 7mon,0yrs 7mon,0,0
652751,48603,66053,74.18,17906,86,6265,27/05/1983,Self employed,31/10/2018,5,1,1,0,0,0,681,E-Low Risk,8,3,0,34286,70700,70700,8612,1,1,0yrs 11mon,1yrs 6mon,0,1
652102,63213,80045,79.96,22826,49,3683,07/08/1980,Self employed,31/10/2018,8,1,1,0,0,0,679,F-Low Risk,2,2,0,4219,33249,33249,4324,0,1,0yrs 6mon,0yrs 7mon,1,1
451268,55013,66107,86.22,23268,45,7186,03/02/1989,Salaried,30/08/2016,7,1,1,0,0,0,836,A-Very Low Risk,1,0,0,0,0,0,0,0,0,2yrs 0mon,2yrs 0mon,0,0
648907,45349,62064,74.12,15129,48,3778,25/06/1983,Self employed,31/10/2018,8,1,1,0,0,0,641,G-Low Risk,13,3,0,110517,110000,110000,149101,3,0,0yrs 8mon,2yrs 1mon,0,0
651451,60187,104886,60.07,24341,51,6944,01/01/1973,Self employed,31/10/2018,12,1,1,0,0,0,650,G-Low Risk,10,3,0,172923,218000,218000,18488,1,0,1yrs 5mon,6yrs 2mon,0,1
461672,47349,60900,82.1,14656,86,53,30/07/1993,Salaried,13/10/2016,1,1,1,0,0,0,824,A-Very Low Risk,1,0,0,0,0,0,4462,0,0,0yrs 11mon,0yrs 11mon,0,0
647443,63713,79332,81.93,24406,86,7224,02/06/1995,Self employed,31/10/2018,7,1,1,0,0,0,0,I-Medium Risk,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,1
647655,66169,99587,68.28,23480,51,6589,12/07/1976,Self employed,31/10/2018,13,1,0,1,0,0,0,I-Medium Risk,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
463566,45649,67990,69.57,18238,120,2340,27/08/1987,Salaried,24/10/2016,4,1,1,0,0,0,819,A-Very Low Risk,8,3,0,41578,75000,75000,9312,1,0,0yrs 7mon,1yrs 2mon,0,0
466753,57259,66532,88.68,14214,45,1840,27/01/1986,Salaried,15/11/2016,4,1,1,0,0,0,845,A-Very Low Risk,2,0,0,0,0,0,0,0,0,3yrs 3mon,5yrs 2mon,0,0
433729,45649,70700,66.48,23643,86,3340,10/03/1969,Self employed,23/05/2016,9,1,1,0,0,0,15,Not Scored: Sufficient History Not Available,1,1,0,47000,47000,47000,4399,1,0,0yrs 2mon,0yrs 2mon,0,0
469044,54182,63000,88.1,22998,86,1655,19/03/1995,Salaried,26/11/2016,4,1,1,0,0,0,825,A-Very Low Risk,1,0,0,0,0,0,0,0,0,1yrs 0mon,1yrs 0mon,0,0
469861,57113,66168,88.56,23609,86,6597,01/01/1985,Salaried,26/11/2016,13,1,0,1,0,0,819,A-Very Low Risk,1,0,0,0,0,0,10137,0,0,4yrs 11mon,4yrs 11mon,0,0
648165,44615,94631,49.35,24296,48,6658,09/09/1994,Self employed,31/10/2018,13,1,0,1,0,0,0,I-Medium Risk,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
649350,35199,47178,78.43,18165,51,601,01/01/1965,Self employed,31/10/2018,15,1,1,0,0,0,0,I-Medium Risk,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
475037,49078,58965,86.49,21081,45,978,24/11/1995,Salaried,07/12/2016,6,1,1,0,0,0,825,A-Very Low Risk,1,0,0,0,0,0,1703,0,0,0yrs 6mon,0yrs 6mon,0,1
