UniqueID,disbursed_amount,asset_cost,ltv,supplier_id,manufacturer_id,Current_pincode_ID,Date.of.Birth,Employment.Type,DisbursalDate,State_ID,Employee_code_ID,MobileNo_Avl_Flag,VoterID_flag,Driving_flag,Passport_flag,PERFORM_CNS.SCORE.DESCRIPTION,PRI.SANCTIONED.AMOUNT,PRI.DISBURSED.AMOUNT,NEW.ACCTS.IN.LAST.SIX.MONTHS,DELINQUENT.ACCTS.IN.LAST.SIX.MONTHS,AVERAGE.ACCT.AGE,CREDIT.HISTORY.LENGTH,loan_default
417614,44763,66228,70.66,16219,45,3503,01/01/1979,Self employed,01/08/2018,9,2757,1,0,0,0,M-Very High Risk,74200,74200,0,0,3yrs 0mon,4yrs 8mon,0
417632,51803,62188,86.03,22637,86,985,09/12/1976,Self employed,01/08/2018,6,1448,1,0,0,0,A-Very Low Risk,0,0,0,1,0yrs 7mon,0yrs 7mon,0
417732,19774,59048,35.06,24310,45,261,05/06/1978,Salaried,01/08/2018,11,2761,1,0,0,0,D-Very Low Risk,195201,195201,3,0,0yrs 11mon,1yrs 8mon,0
417827,33987,88708,38.95,14189,86,3782,22/06/1991,Self employed,01/08/2018,8,2041,1,0,0,0,A-Very Low Risk,0,0,0,0,0yrs 11mon,0yrs 11mon,0
418058,51978,60199,88.04,16866,86,475,01/01/1981,Self employed,01/08/2018,11,2529,1,1,0,0,K-High Risk,142667,142667,4,1,0yrs 4mon,0yrs 8mon,1
418281,54259,66528,84.18,16445,86,2989,05/11/1996,Salaried,01/08/2018,14,808,1,0,0,0,Not Scored: Not Enough Info available on the customer,170000,170000,0,0,0yrs 9mon,0yrs 9mon,1
418473,70317,128649,55.97,23647,49,6898,01/10/1987,Self employed,01/08/2018,13,620,1,1,0,0,I-Medium Risk,210000,210000,0,1,2yrs 10mon,5yrs 0mon,0
418825,65582,74892,89.46,14189,86,3731,13/01/1989,Self employed,01/08/2018,8,1170,1,0,0,0,C-Very Low Risk,100012,100012,0,0,0yrs 6mon,0yrs 10mon,1
419062,46349,66600,72.07,23578,45,728,28/05/1992,Self employed,01/08/2018,18,2013,1,0,0,0,J-High Risk,50000,50000,0,1,2yrs 5mon,4yrs 1mon,1
419171,33484,58050,60.29,17705,45,2783,10/11/1992,Salaried,03/08/2018,2,1305,1,1,0,0,No Bureau History Available,0,0,0,0,0yrs 0mon,0yrs 0mon,0
419347,65780,76198,88.84,14614,86,4611,31/05/1983,Salaried,03/08/2018,8,1867,1,0,0,0,D-Very Low Risk,20000,20000,0,0,1yrs 10mon,1yrs 10mon,0
