Variable Name,Description
Aadhar_flag,if aadhar (Unique Identification Authority) was shared by the customer then flagged as 1
asset_cost,Cost of the Asset
AVERAGE.ACCT.AGE,Average loan tenure
branch_id,Branch where the loan was disbursed
CREDIT.HISTORY.LENGTH,Time since first loan
Current_pincode,Current pincode of the customer
Date.of.Birth,Date of birth of the customer
DELINQUENT.ACCTS.IN.LAST.SIX.MONTHS,Loans defaulted in the last 6 months
DisbursalDate,Date of disbursement
disbursed_amount,Amount of Loan disbursed
Driving_flag,if DL was shared by the customer then flagged as 1
Employee_code_ID,Employee of the organization who logged the disbursement
Employment.Type,Employment Type of the customer (Salaried/Self Employed)
loan_default,Payment default in the first EMI on due date
ltv,Loan to Value of the asset
manufacturer_id,"Vehicle manufacturer(Hero, Honda, TVS etc.)"
MobileNo_Avl_Flag,if Mobile no. was shared by the customer then flagged as 1
NEW.ACCTS.IN.LAST.SIX.MONTHS,New loans taken by the customer in last 6 months before the disbursment
NO.OF_INQUIRIES,Enquries done by the customer for loans
PAN_flag,if pan (permanent account number) was shared by the customer then flagged as 1
Passport_flag,if passport was shared by the customer then flagged as 1
PERFORM_CNS.SCORE,Bureau Score
PERFORM_CNS.SCORE.DESCRIPTION,Bureau score description
PRI.ACTIVE.ACCTS,count of active loans taken by the customer at the time of disbursement
PRI.CURRENT.BALANCE,total Principal outstanding amount of the active loans at the time of disbursement
PRI.DISBURSED.AMOUNT,total amount that was disbursed for all the loans at the time of disbursement
PRI.NO.OF.ACCTS,count of total loans taken by the customer at the time of disbursement
PRI.OVERDUE.ACCTS,count of default accounts at the time of disbursement
PRI.SANCTIONED.AMOUNT,total amount that was sanctioned for all the loans at the time of disbursement
PRIMARY.INSTAL.AMT,EMI Amount of the primary loan
State_ID,State of disbursement
supplier_id,Vehicle Dealer where the loan was disbursed
UniqueID,Identifier for customers
VoterID_flag,if voter  was shared by the customer then flagged as 1
